"filename", "language", "Python", "Jupyter", "JSON", "JavaScript", "comment", "blank", "total"
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/200730-checkpoint.ipynb", "Jupyter", 0, 6, 0, 0, 0, 1, 7
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/200805 Video metrics heatmap-checkpoint.ipynb", "Jupyter", 0, 6, 0, 0, 0, 1, 7
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/200811 Citation boxplot by video existence-checkpoint.ipynb", "Jupyter", 0, 3900, 0, 0, 0, 1, 3901
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/200819 Paper metrics boxplot-checkpoint.ipynb", "Jupyter", 0, 1009, 0, 0, 0, 1, 1010
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/200827 t-test group by video release date-checkpoint.ipynb", "Jupyter", 0, 6, 0, 0, 0, 1, 7
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/200904 analysis on contents and paper metrics-checkpoint.ipynb", "Jupyter", 0, 1684, 0, 0, 0, 1, 1685
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/200905 sub-subject plot-checkpoint.ipynb", "Jupyter", 0, 2194, 0, 0, 0, 1, 2195
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/200914 Reference video analysis by styles-checkpoint.ipynb", "Jupyter", 0, 1013, 0, 0, 0, 1, 1014
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/200918 Journals analysis by CiteScore plot-checkpoint.ipynb", "Jupyter", 0, 1876, 0, 0, 0, 1, 1877
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/200924 Impact of videos on paper metrics - Life-checkpoint.ipynb", "Jupyter", 0, 1492, 0, 0, 0, 1, 1493
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/200930 analysis on contents and paper metrics - Life-checkpoint.ipynb", "Jupyter", 0, 1442, 0, 0, 0, 1, 1443
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/201004 Journal papers analysis-checkpoint.ipynb", "Jupyter", 0, 6, 0, 0, 0, 1, 7
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/201107 Scaled view plot by user types-checkpoint.ipynb", "Jupyter", 0, 2979, 0, 0, 0, 1, 2980
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/201113 Clustering-ELBO-checkpoint.ipynb", "Jupyter", 0, 415, 0, 0, 0, 1, 416
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/201117 viewCount boxplot-checkpoint.ipynb", "Jupyter", 0, 648, 0, 0, 0, 1, 649
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/201130 Boxplot by scopus sub-subjects-checkpoint.ipynb", "Jupyter", 0, 191, 0, 0, 0, 1, 192
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/201203 viewcount-citation modeling-checkpoint.ipynb", "Jupyter", 0, 295, 0, 0, 0, 1, 296
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/Untitled-checkpoint.ipynb", "Jupyter", 0, 245, 0, 0, 0, 1, 246
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/Untitled1-checkpoint.ipynb", "Jupyter", 0, 137, 0, 0, 0, 1, 138
"/home/hweem/git/mastersdegree/ytcrawl/customs/.ipynb_checkpoints/temp-sentence-transformer-checkpoint.ipynb", "Jupyter", 0, 5876, 0, 0, 0, 1, 5877
"/home/hweem/git/mastersdegree/ytcrawl/customs/200730.ipynb", "Jupyter", 0, 372, 0, 0, 0, 1, 373
"/home/hweem/git/mastersdegree/ytcrawl/customs/200805 Video metrics heatmap.ipynb", "Jupyter", 0, 2641, 0, 0, 0, 1, 2642
"/home/hweem/git/mastersdegree/ytcrawl/customs/200811 Citation boxplot by video existence.ipynb", "Jupyter", 0, 3900, 0, 0, 0, 1, 3901
"/home/hweem/git/mastersdegree/ytcrawl/customs/200819 Paper metrics boxplot.ipynb", "Jupyter", 0, 968, 0, 0, 0, 1, 969
"/home/hweem/git/mastersdegree/ytcrawl/customs/200827 t-test group by video release date.ipynb", "Jupyter", 0, 1368, 0, 0, 0, 1, 1369
"/home/hweem/git/mastersdegree/ytcrawl/customs/200904 analysis on contents and paper metrics.ipynb", "Jupyter", 0, 1684, 0, 0, 0, 1, 1685
"/home/hweem/git/mastersdegree/ytcrawl/customs/200905 sub-subject plot.ipynb", "Jupyter", 0, 2450, 0, 0, 0, 1, 2451
"/home/hweem/git/mastersdegree/ytcrawl/customs/200914 Reference video analysis by styles.ipynb", "Jupyter", 0, 1000, 0, 0, 0, 1, 1001
"/home/hweem/git/mastersdegree/ytcrawl/customs/200918 Journals analysis by CiteScore plot.ipynb", "Jupyter", 0, 2035, 0, 0, 0, 1, 2036
"/home/hweem/git/mastersdegree/ytcrawl/customs/200924 Impact of videos on paper metrics - Life.ipynb", "Jupyter", 0, 2424, 0, 0, 0, 1, 2425
"/home/hweem/git/mastersdegree/ytcrawl/customs/200930 analysis on contents and paper metrics - Life.ipynb", "Jupyter", 0, 1839, 0, 0, 0, 1, 1840
"/home/hweem/git/mastersdegree/ytcrawl/customs/201004 Journal papers analysis.ipynb", "Jupyter", 0, 570, 0, 0, 0, 1, 571
"/home/hweem/git/mastersdegree/ytcrawl/customs/201107 Scaled view plot by user types.ipynb", "Jupyter", 0, 3183, 0, 0, 0, 1, 3184
"/home/hweem/git/mastersdegree/ytcrawl/customs/201113 Clustering-ELBO.ipynb", "Jupyter", 0, 424, 0, 0, 0, 1, 425
"/home/hweem/git/mastersdegree/ytcrawl/customs/201117 viewCount boxplot.ipynb", "Jupyter", 0, 648, 0, 0, 0, 1, 649
"/home/hweem/git/mastersdegree/ytcrawl/customs/201130 Boxplot by scopus sub-subjects.ipynb", "Jupyter", 0, 191, 0, 0, 0, 1, 192
"/home/hweem/git/mastersdegree/ytcrawl/customs/201203 viewcount-citation modeling.ipynb", "Jupyter", 0, 295, 0, 0, 0, 1, 296
"/home/hweem/git/mastersdegree/ytcrawl/customs/Untitled.ipynb", "Jupyter", 0, 245, 0, 0, 0, 1, 246
"/home/hweem/git/mastersdegree/ytcrawl/customs/Untitled1.ipynb", "Jupyter", 0, 137, 0, 0, 0, 1, 138
"/home/hweem/git/mastersdegree/ytcrawl/customs/altmetric-it.js", "JavaScript", 0, 0, 0, 19, 1, 1, 21
"/home/hweem/git/mastersdegree/ytcrawl/customs/altmetric_it.py", "Python", 389, 0, 0, 0, 140, 83, 612
"/home/hweem/git/mastersdegree/ytcrawl/customs/channels.py", "Python", 108, 0, 0, 0, 393, 28, 529
"/home/hweem/git/mastersdegree/ytcrawl/customs/db_channels_uploader.py", "Python", 48, 0, 0, 0, 50, 23, 121
"/home/hweem/git/mastersdegree/ytcrawl/customs/db_handler.py", "Python", 69, 0, 0, 0, 10, 16, 95
"/home/hweem/git/mastersdegree/ytcrawl/customs/db_papers_uploader.py", "Python", 419, 0, 0, 0, 102, 82, 603
"/home/hweem/git/mastersdegree/ytcrawl/customs/db_videos_uploader.py", "Python", 158, 0, 0, 0, 52, 41, 251
"/home/hweem/git/mastersdegree/ytcrawl/customs/guide_categories.py", "Python", 39, 0, 0, 0, 64, 18, 121
"/home/hweem/git/mastersdegree/ytcrawl/customs/main.py", "Python", 410, 0, 0, 0, 210, 137, 757
"/home/hweem/git/mastersdegree/ytcrawl/customs/organizer.py", "Python", 28, 0, 0, 0, 1, 5, 34
"/home/hweem/git/mastersdegree/ytcrawl/customs/paper_score.py", "Python", 40, 0, 0, 0, 6, 9, 55
"/home/hweem/git/mastersdegree/ytcrawl/customs/preprocessor.py", "Python", 132, 0, 0, 0, 35, 29, 196
"/home/hweem/git/mastersdegree/ytcrawl/customs/read_only/dict_redirection_domains.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/home/hweem/git/mastersdegree/ytcrawl/customs/scopus_handler.py", "Python", 402, 0, 0, 0, 107, 93, 602
"/home/hweem/git/mastersdegree/ytcrawl/customs/scopus_preprocessor.py", "Python", 686, 0, 0, 0, 251, 168, 1105
"/home/hweem/git/mastersdegree/ytcrawl/customs/search_custom.py", "Python", 284, 0, 0, 0, 226, 48, 558
"/home/hweem/git/mastersdegree/ytcrawl/customs/springer_api.py", "Python", 24, 0, 0, 0, 3, 10, 37
"/home/hweem/git/mastersdegree/ytcrawl/customs/sql_handler.py", "Python", 181, 0, 0, 0, 16, 40, 237
"/home/hweem/git/mastersdegree/ytcrawl/customs/temp-sentence-transformer.ipynb", "Jupyter", 0, 5876, 0, 0, 0, 1, 5877
"/home/hweem/git/mastersdegree/ytcrawl/customs/temp-sentence-transformer.py", "Python", 1, 0, 0, 0, 0, 0, 1
"/home/hweem/git/mastersdegree/ytcrawl/customs/temp.py", "Python", 87, 0, 0, 0, 40, 24, 151
"/home/hweem/git/mastersdegree/ytcrawl/customs/test.py", "Python", 1224, 0, 0, 0, 474, 261, 1959
"/home/hweem/git/mastersdegree/ytcrawl/customs/twitter_organizer.py", "Python", 152, 0, 0, 0, 15, 37, 204
"/home/hweem/git/mastersdegree/ytcrawl/customs/video_categories.py", "Python", 23, 0, 0, 0, 55, 14, 92
"/home/hweem/git/mastersdegree/ytcrawl/customs/videos.py", "Python", 124, 0, 0, 0, 70, 31, 225
"/home/hweem/git/mastersdegree/ytcrawl/customs/videos_organizer.py", "Python", 182, 0, 0, 0, 28, 39, 249
"/home/hweem/git/mastersdegree/ytcrawl/customs/youtube.py", "Python", 81, 0, 0, 0, 75, 15, 171
"Total", "-", 5291, 57670, 1, 19, 2424, 1292, 66697