Source title,Publisher
Foundations and Trends in Theoretical Computer Science,Now Publishers Inc.
Journal of Multiple-Valued Logic and Soft Computing,Old City Publishing Inc.
Journal of Optical Communications and Networking,Optical Society of America
"Journal of the Optical Society of America A: Optics and Image Science, and Vision",Optical Society of America
Bioinformatics,Oxford University Press
Briefings in Bioinformatics,Oxford University Press
Database : the journal of biological databases and curation,Oxford University Press
Interacting with Computers,Oxford University Press
Biostatistics,Oxford University Press
GigaScience,Oxford University Press
Biometrika,Oxford University Press
Mathematical Medicine and Biology,Oxford University Press
Computer Journal,Oxford University Press
IMA Journal of Numerical Analysis,Oxford University Press
Journal of Logic and Computation,Oxford University Press
Quarterly Journal of Mechanics and Applied Mathematics,Oxford University Press
International Mathematics Research Notices,Oxford University Press
IMA Journal of Applied Mathematics,Oxford University Press
IMA Journal of Mathematical Control and Information,Oxford University Press
International Journal of Prognostics and Health Management,PHM Society
Russian Journal of Mathematical Physics,Pleiades Publishing
"P-Adic Numbers, Ultrametric Analysis, and Applications",Pleiades Publishing
Mathematical Models and Computer Simulations,Pleiades Publishing
Bulletin of the Polish Academy of Sciences: Technical Sciences,Polish Academy of Sciences
International Journal on Communications Antenna and Propagation,Praise Worthy Prize
International Review on Modelling and Simulations,Praise Worthy Prize
Annals of Mathematics,Princeton University Press
PLoS Computational Biology,Public Library of Science
Quantum Information and Computation,"Rinton Press, Inc."
Acta Mathematica,Royal Swedish Academy of Sciences
International Journal of Robotics Research,SAGE
Journal of Service Research,SAGE
Science Technology and Human Values,SAGE
Statistical Methods in Medical Research,SAGE
International Journal of High Performance Computing Applications,SAGE
Information Visualization,SAGE
Social Science Computer Review,SAGE
Journal of Information Science,SAGE
Adaptive Behavior,SAGE
Games and Culture,SAGE
Educational and Psychological Measurement,SAGE
Journal of Strain Analysis for Engineering Design,SAGE
Simulation and Gaming,SAGE
Perception,SAGE
i-Perception,SAGE
Journal of Educational Computing Research,SAGE
Simulation,SAGE
Mathematics and Mechanics of Solids,SAGE
Statistical Modelling,SAGE
Zidonghua Xuebao/Acta Automatica Sinica,Science Press
Journal of Systems Engineering and Electronics,Science Press
Jisuanji Xuebao/Chinese Journal of Computers,Science Press
"Nonlinear Dynamics, Psychology, and Life Sciences",Society for Chaos Theory in Psychology & Life Sciences
SIAM Review,Society for Industrial and Applied Mathematics
SIAM Journal on Imaging Sciences,Society for Industrial and Applied Mathematics
SIAM Journal on Optimization,Society for Industrial and Applied Mathematics
SIAM Journal of Scientific Computing,Society for Industrial and Applied Mathematics
Multiscale Modeling and Simulation,Society for Industrial and Applied Mathematics
SIAM Journal on Computing,Society for Industrial and Applied Mathematics
SIAM Journal on Numerical Analysis,Society for Industrial and Applied Mathematics
SIAM Journal on Control and Optimization,Society for Industrial and Applied Mathematics
SIAM Journal on Applied Dynamical Systems,Society for Industrial and Applied Mathematics
SIAM Journal on Mathematical Analysis,Society for Industrial and Applied Mathematics
SIAM Journal on Matrix Analysis and Applications,Society for Industrial and Applied Mathematics
SIAM Journal on Applied Mathematics,Society for Industrial and Applied Mathematics
SIAM Journal on Financial Mathematics,Society for Industrial and Applied Mathematics Publications
Journal of Ship Research,Society of Naval Architects and Marine Engineers
Journal of Electronic Imaging,SPIE
International Journal of Computer Vision,Springer Nature
NPG Asia Materials,Springer Nature
Archives of Computational Methods in Engineering,Springer Nature
User Modeling and User-Adapted Interaction,Springer Nature
International Journal of Machine Learning and Cybernetics,Springer Nature
Data Mining and Knowledge Discovery,Springer Nature
Autonomous Robots,Springer Nature
Biology Direct,Springer Nature
International Journal of Computer-Supported Collaborative Learning,Springer Nature
Journal of Information Technology,Springer Nature
Requirements Engineering,Springer Nature
Journal of Internet Services and Applications,Springer Nature
BMC Bioinformatics,Springer Nature
Empirical Software Engineering,Springer Nature
Artificial Intelligence Review,Springer Nature
BMC Systems Biology,Springer Nature
Automated Software Engineering,Springer Nature
VLDB Journal,Springer Nature
Genetic Programming and Evolvable Machines,Springer Nature
Machine Learning,Springer Nature
Human-centric Computing and Information Sciences,Springer Nature
Journal of Cryptology,Springer Nature
Vascular Cell,Springer Nature
Biomechanics and Modeling in Mechanobiology,Springer Nature
Mathematical Programming Computation,Springer Nature
Journal of Computer-Aided Molecular Design,Springer Nature
Knowledge and Information Systems,Springer Nature
Software and Systems Modeling,Springer Nature
Information Retrieval,Springer Nature
Molecular Diversity,Springer Nature
Neuroinformatics,Springer Nature
Letters in Mathematical Physics,Springer Nature
Structural and Multidisciplinary Optimization,Springer Nature
Autonomous Agents and Multi-Agent Systems,Springer Nature
Computer Supported Cooperative Work,Springer Nature
Journal of Biomedical Semantics,Springer Nature
Biological Cybernetics,Springer Nature
International Journal of Health Geographics,Springer Nature
Multibody System Dynamics,Springer Nature
Foundations of Computational Mathematics,Springer Nature
Journal of Mathematical Imaging and Vision,Springer Nature
Mathematical Programming,Springer Nature
Scientometrics,Springer Nature
Evolving Systems,Springer Nature
Constraints,Springer Nature
Fixed Point Theory and Applications,Springer Nature
Personal and Ubiquitous Computing,Springer Nature
International Journal of Social Robotics,Springer Nature
Mobile Networks and Applications,Springer Nature
Archive for Rational Mechanics and Analysis,Springer Nature
Computational Mechanics,Springer Nature
International Journal on Document Analysis and Recognition,Springer Nature
Inventiones Mathematicae,Springer Nature
International Journal of Artificial Intelligence in Education,Springer Nature
Medical and Biological Engineering and Computing,Springer Nature
Nonlinear Dynamics,Springer Nature
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,Springer Nature
World Wide Web,Springer Nature
Algorithms for Molecular Biology,Springer Nature
Journal of Grid Computing,Springer Nature
Journal of Heuristics,Springer Nature
Swarm Intelligence,Springer Nature
Celestial Mechanics and Dynamical Astronomy,Springer Nature
New Generation Computing,Springer Nature
Applied Intelligence,Springer Nature
Fuzzy Optimization and Decision Making,Springer Nature
Journal of Intelligent and Robotic Systems: Theory and Applications,Springer Nature
Communications in Mathematical Physics,Springer Nature
Computational Geosciences,Springer Nature
GeoInformatica,Springer Nature
Journal of Mathematical Biology,Springer Nature
Psychometrika,Springer Nature
EPJ Data Science,Springer Nature
BioData Mining,Springer Nature
Journal of Nanoparticle Research,Springer Nature
Journal of Scientific Computing,Springer Nature
Soft Computing,Springer Nature
Bulletin of Mathematical Biology,Springer Nature
Electronic Commerce Research,Springer Nature
Information Systems Frontiers,Springer Nature
Networks and Spatial Economics,Springer Nature
Real-Time Systems,Springer Nature
Distributed and Parallel Databases,Springer Nature
International Journal on Software Tools for Technology Transfer,Springer Nature
Journal of Automated Reasoning,Springer Nature
Journal of Medical Systems,Springer Nature
Journal of Nonlinear Science,Springer Nature
Memetic Computing,Springer Nature
3D Research,Springer Nature
Mathematical Geosciences,Springer Nature
Statistics and Computing,Springer Nature
Artificial Intelligence and Law,Springer Nature
Cognitive Processing,Springer Nature
Engineering with Computers,Springer Nature
Journal of Intelligent Manufacturing,Springer Nature
Journal on Multimodal User Interfaces,Springer Nature
Optimization and Engineering,Springer Nature
Ethics and Information Technology,Springer Nature
Eurasip Journal on Advances in Signal Processing,Springer Nature
Geometric and Functional Analysis,Springer Nature
International Journal of Advanced Manufacturing Technology,Springer Nature
International journal of computer assisted radiology and surgery,Springer Nature
Machine Vision and Applications,Springer Nature
Numerische Mathematik,Springer Nature
Service Oriented Computing and Applications,Springer Nature
Software Quality Journal,Springer Nature
Computational Optimization and Applications,Springer Nature
Information Technology and Management,Springer Nature
International Journal of Fracture,Springer Nature
Acta Applicandae Mathematicae,Springer Nature
Advances in Computational Mathematics,Springer Nature
Cellular and Molecular Bioengineering,Springer Nature
Discrete Event Dynamic Systems: Theory and Applications,Springer Nature
Extremes,Springer Nature
Finance and Stochastics,Springer Nature
Formal Aspects of Computing,Springer Nature
International Journal of Fuzzy Systems,Springer Nature
Journal of Molecular Modeling,Springer Nature
Journal of Scheduling,Springer Nature
Multimedia Systems,Springer Nature
Multimedia Tools and Applications,Springer Nature
Natural Computing,Springer Nature
Probability Theory and Related Fields,Springer Nature
Wireless Networks,Springer Nature
Advances in Data Analysis and Classification,Springer Nature
Calculus of Variations and Partial Differential Equations,Springer Nature
Computing and Visualization in Science,Springer Nature
Computing (Vienna/New York),Springer Nature
International Journal of Information Security,Springer Nature
Neural Processing Letters,Springer Nature
Pattern Analysis and Applications,Springer Nature
Quantum Information Processing,Springer Nature
Theoretical Biology and Medical Modelling,Springer Nature
Universal Access in the Information Society,Springer Nature
Algorithmica,Springer Nature
Annales Henri Poincare,Springer Nature
Distributed Computing,Springer Nature
Energy Systems,Springer Nature
Intelligent Service Robotics,Springer Nature
Journal of Ambient Intelligence and Humanized Computing,Springer Nature
Journal of Digital Imaging,Springer Nature
Journal of Global Optimization,Springer Nature
Journal of Mathematical Fluid Mechanics,Springer Nature
Journal of Optimization Theory and Applications,Springer Nature
Multidimensional Systems and Signal Processing,Springer Nature
Visual Computer,Springer Nature
"Circuits, Systems, and Signal Processing",Springer Nature
Constructive Approximation,Springer Nature
Journal of Cryptographic Engineering,Springer Nature
Journal of Statistical Physics,Springer Nature
4OR,Springer Nature
Cognitive Computation,Springer Nature
Eurasip Journal on Embedded Systems,Springer Nature
Evolutionary Intelligence,Springer Nature
Formal Methods in System Design,Springer Nature
Information Systems and e-Business Management,Springer Nature
International Journal of Automation and Computing,Springer Nature
Journal of Computer Virology and Hacking Techniques,Springer Nature
Journal of Real-Time Image Processing,Springer Nature
Numerical Algorithms,Springer Nature
Virtual Reality,Springer Nature
AStA Advances in Statistical Analysis,Springer Nature
Business and Information Systems Engineering,Springer Nature
Journal of Classification,Springer Nature
Journal of Engineering Mathematics,Springer Nature
Journal of Fourier Analysis and Applications,Springer Nature
Journal of Mathematical Chemistry,Springer Nature
Optimization Letters,Springer Nature
Cluster Computing,Springer Nature
"Cognition, Technology and Work",Springer Nature
Eurasip Journal on Image and Video Processing,Springer Nature
"Journal of Agricultural, Biological, and Environmental Statistics",Springer Nature
Journal of Computer Science and Technology,Springer Nature
Journal of Intelligent Information Systems,Springer Nature
Journal of Signal Processing Systems,Springer Nature
Microsystem Technologies,Springer Nature
Sports Engineering,Springer Nature
Theory in Biosciences,Springer Nature
Acta Biotheoretica,Springer Nature
Applied Mathematics and Optimization,Springer Nature
"Designs, Codes, and Cryptography",Springer Nature
Discrete and Computational Geometry,Springer Nature
Environmental and Ecological Statistics,Springer Nature
Innovations in Systems and Software Engineering,Springer Nature
Neural Computing and Applications,Springer Nature
Photonic Network Communications,Springer Nature
Theory of Computing Systems,Springer Nature
Annals of the Institute of Statistical Mathematics,Springer Nature
BIT Numerical Mathematics,Springer Nature
International Journal of Parallel Programming,Springer Nature
International Journal of Theoretical Physics,Springer Nature
Journal of Hydrodynamics,Springer Nature
"Mathematics of Control, Signals, and Systems",Springer Nature
Mathematische Annalen,Springer Nature
Test,Springer Nature
ZDM - International Journal on Mathematics Education,Springer Nature
Zeitschrift fur Angewandte Mathematik und Physik,Springer Nature
Advances in Difference Equations,Springer Nature
Annals of Mathematics and Artificial Intelligence,Springer Nature
"Applicable Algebra in Engineering, Communications and Computing",Springer Nature
Computational Management Science,Springer Nature
Educational Studies in Mathematics,Springer Nature
Electronic Markets,Springer Nature
Journal of Mathematics Teacher Education,Springer Nature
Journal of Supercomputing,Springer Nature
Minds and Machines,Springer Nature
Set-Valued and Variational Analysis,Springer Nature
Source Code for Biology and Medicine,Springer Nature
Computational and Mathematical Organization Theory,Springer Nature
Control Theory and Technology,Springer Nature
International Journal of Speech Technology,Springer Nature
International Journal on Interactive Design and Manufacturing,Springer Nature
Journal of Computational Electronics,Springer Nature
Journal of Dynamics and Differential Equations,Springer Nature
Operational Research,Springer Nature
Potential Analysis,Springer Nature
Acta Informatica,Springer Nature
Annali dell'Universita di Ferrara,Springer Nature
Annali di Matematica Pura ed Applicata,Springer Nature
Cryptography and Communications,Springer Nature
European Actuarial Journal,Springer Nature
Journal d'Analyse Mathematique,Springer Nature
Journal of Applied Mathematics and Computing,Springer Nature
"Journal of Logic, Language and Information",Springer Nature
Journal of Theoretical Probability,Springer Nature
Mathematische Zeitschrift,Springer Nature
Microgravity Science and Technology,Springer Nature
NETNOMICS: Economic Research and Electronic Networking,Springer Nature
"Selecta Mathematica, New Series",Springer Nature
"Signal, Image and Video Processing",Springer Nature
Statistical Papers,Springer Nature
Theory and Decision,Springer Nature
TOP,Springer Nature
Eurasip Journal on Wireless Communications and Networking,Springer Publishing Company
Annali della Scuola normale superiore di Pisa - Classe di scienze,Stampacchia Guido
Electronic Journal of Qualitative Theory of Differential Equations,Szegedi Tudomanyegyetern/University of Szeged
Enterprise Information Systems,Taylor & Francis
European Journal of Information Systems,Taylor & Francis
Journal of Management Information Systems,Taylor & Francis
Human-Computer Interaction,Taylor & Francis
Journal of Business and Economic Statistics,Taylor & Francis
Journal of Building Performance Simulation,Taylor & Francis
Journal of the American Statistical Association,Taylor & Francis
International Journal of Geographical Information Science,Taylor & Francis
Numerical Heat Transfer; Part A: Applications,Taylor & Francis
"Numerical Heat Transfer, Part B: Fundamentals",Taylor & Francis
Multivariate Behavioral Research,Taylor & Francis
International Journal of Digital Earth,Taylor & Francis
Structural Equation Modeling,Taylor & Francis
Journal of Information Technology and Politics,Taylor & Francis
Journal of Simulation,Taylor & Francis
International Journal of Control,Taylor & Francis
International Journal of Human-Computer Interaction,Taylor & Francis
International Journal of Image and Data Fusion,Taylor & Francis
Journal of Computational and Graphical Statistics,Taylor & Francis
Information Society,Taylor & Francis
Interactive Learning Environments,Taylor & Francis
Internet Mathematics,Taylor & Francis
Combustion Theory and Modelling,Taylor & Francis
Technometrics,Taylor & Francis
Engineering Optimization,Taylor & Francis
Computer Assisted Language Learning,Taylor & Francis
Spatial Cognition and Computation,Taylor & Francis
"Technology, Pedagogy and Education",Taylor & Francis
Behaviour and Information Technology,Taylor & Francis
Cybernetics and Systems,Taylor & Francis
Ecological Psychology,Taylor & Francis
Journal of Global Information Technology Management,Taylor & Francis
Journal of Intelligent Transportation Systems,Taylor & Francis
Journal of the Operational Research Society,Taylor & Francis
Coastal Engineering Journal,Taylor & Francis
Information Systems Management,Taylor & Francis
International Journal of Computer Integrated Manufacturing,Taylor & Francis
Journal of Computer Information Systems,Taylor & Francis
Communications in Partial Differential Equations,Taylor & Francis
Advanced Robotics,Taylor & Francis
Bernoulli,Taylor & Francis
Computer Science Education,Taylor & Francis
Mathematical and Computer Modelling of Dynamical Systems,Taylor & Francis
Molecular Simulation,Taylor & Francis
Optimization Methods and Software,Taylor & Francis
Applied Artificial Intelligence,Taylor & Francis
Connection Science,Taylor & Francis
International Journal of General Systems,Taylor & Francis
Scandinavian Actuarial Journal,Taylor & Francis
Virtual and Physical Prototyping,Taylor & Francis
American Statistician,Taylor & Francis
CoDesign,Taylor & Francis
International Journal of Computer Mathematics,Taylor & Francis
Journal of Mathematical Sociology,Taylor & Francis
Mathematical Thinking and Learning,Taylor & Francis
Production Planning and Control,Taylor & Francis
Integral Transforms and Special Functions,Taylor & Francis
Inverse Problems in Science and Engineering,Taylor & Francis
Journal of Biopharmaceutical Statistics,Taylor & Francis
Mechanics of Advanced Materials and Structures,Taylor & Francis
Journal of Difference Equations and Applications,Taylor & Francis
Journal of Location Based Services,Taylor & Francis
North American Actuarial Journal,Taylor & Francis
CMES - Computer Modeling in Engineering and Sciences,Tech Science Press
"Computers, Materials and Continua",Tech Science Press
Journal of Universal Computer Science,Technische Universität Graz
Logical Methods in Computer Science,Technischen Universitat Braunschweig
Smart Structures and Systems,Techno Press
"Wind and Structures, An International Journal",Techno Press
International Journal of Mobile Human Computer Interaction,The Information Resources Management Association (IRMA)
Journal of Spatial Information Science,The National Center for Geographic Information and Analysis (NCGIA)
"Modeling, Identification and Control",The Research Council of Norway
"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",The Royal Society
"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",The Royal Society
"Vital and health statistics. Series 2, Data evaluation and methods research",U.S. National Center for Health Statistics
Iranian Journal of Fuzzy Systems,Unisity of Sistan & Baluchistan
Scientific Annals of Computer Science,Universitatea din Bucuresti
Balkan Journal of Geometry and its Applications,Universitatea Politehnica Bucuresti
Applied Sciences,Universitatea Politehnica Bucuresti
Applicable Analysis and Discrete Mathematics,University of Belgrade
Journal of Statistical Software,University of California Press
Language Learning and Technology,University of Hawaii Press
First Monday,University of Illinois
Match,University of Kragujevac
MIS Quarterly: Management Information Systems,University of Minnesota
Transactions on Data Privacy,University of Skovde
Advances in Electrical and Computer Engineering,University of Suceava
JASSS,University of Surrey
Australasian Journal of Information Systems,"UQ Business School, The University of Queensland"
Nonlinear Analysis: Modelling and Control,Vilnius University Press
Fractional Calculus and Applied Analysis,Walter de Gruyter
International Journal of Applied Mathematics and Computer Science,Walter de Gruyter
International Journal of Biostatistics,Walter de Gruyter
Statistical Applications in Genetics and Molecular Biology,Walter de Gruyter
Zeitschrift fur Naturforschung - Section A Journal of Physical Sciences,Walter de Gruyter
Journal fur die Reine und Angewandte Mathematik,Walter de Gruyter
Advances in Nonlinear Analysis,Walter de Gruyter
International Journal of Nonlinear Sciences and Numerical Simulation,Walter de Gruyter
Analysis (Germany),Walter de Gruyter
Advances in Calculus of Variations,Walter de Gruyter
Molecular Systems Biology,Wiley-Blackwell
Wiley Interdisciplinary Reviews: Computational Molecular Science,Wiley-Blackwell
Journal of the Royal Statistical Society. Series B: Statistical Methodology,Wiley-Blackwell
Computer-Aided Civil and Infrastructure Engineering,Wiley-Blackwell
Journal of Computational Chemistry,Wiley-Blackwell
Journal of Field Robotics,Wiley-Blackwell
Information Systems Journal,Wiley-Blackwell
Communications on Pure and Applied Mathematics,Wiley-Blackwell
Journal of Computer Assisted Learning,Wiley-Blackwell
Journal of the Association for Information Science and Technology,Wiley-Blackwell
Cognitive Science,Wiley-Blackwell
International Journal for Numerical Methods in Engineering,Wiley-Blackwell
Journal of Computer-Mediated Communication,Wiley-Blackwell
Topics in Cognitive Science,Wiley-Blackwell
Computer Graphics Forum,Wiley-Blackwell
International Journal of Intelligent Systems,Wiley-Blackwell
International Journal for Numerical Methods in Biomedical Engineering,Wiley-Blackwell
Journal of Chemometrics,Wiley-Blackwell
Software - Practice and Experience,Wiley-Blackwell
Software Testing Verification and Reliability,Wiley-Blackwell
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,Wiley-Blackwell
Molecular Informatics,Wiley-Blackwell
International Journal of Adaptive Control and Signal Processing,Wiley-Blackwell
International Journal of Medical Robotics and Computer Assisted Surgery,Wiley-Blackwell
International Journal for Numerical Methods in Fluids,Wiley-Blackwell
International Journal of Circuit Theory and Applications,Wiley-Blackwell
Statistics in Medicine,Wiley-Blackwell
Computational Intelligence,Wiley-Blackwell
Concurrency Computation Practice and Experience,Wiley-Blackwell
Journal of the Royal Statistical Society. Series A: Statistics in Society,Wiley-Blackwell
Mathematical Finance,Wiley-Blackwell
Wiley Interdisciplinary Reviews: Computational Statistics,Wiley-Blackwell
Biometrics,Wiley-Blackwell
British Journal of Mathematical and Statistical Psychology,Wiley-Blackwell
Numerical Methods for Partial Differential Equations,Wiley-Blackwell
Photogrammetric Record,Wiley-Blackwell
Environmetrics,Wiley-Blackwell
Journal of the Royal Statistical Society. Series C: Applied Statistics,Wiley-Blackwell
Optimal Control Applications and Methods,Wiley-Blackwell
Numerical Linear Algebra with Applications,Wiley-Blackwell
Systems Engineering,Wiley-Blackwell
International Statistical Review,Wiley-Blackwell
ETRI Journal,Wiley-Blackwell
Biometrical Journal,Wiley-Blackwell
International Journal of Communication Systems,Wiley-Blackwell
Networks,Wiley-Blackwell
Journal of Forecasting,Wiley-Blackwell
International Transactions on Electrical Energy Systems,Wiley-Blackwell
Pharmaceutical Statistics,Wiley-Blackwell
Random Structures and Algorithms,Wiley-Blackwell
Scandinavian Journal of Statistics,Wiley-Blackwell
Statistical Analysis and Data Mining,Wiley-Blackwell
Studies in Applied Mathematics,Wiley-Blackwell
International Journal of RF and Microwave Computer-Aided Engineering,Wiley-Blackwell
Expert Systems,Wiley-Blackwell
Journal of software: Evolution and Process,Wiley-Blackwell
Oxford Bulletin of Economics and Statistics,Wiley-Blackwell
Proceedings of the London Mathematical Society,Wiley-Blackwell
ZAMM Zeitschrift fur Angewandte Mathematik und Mechanik,Wiley-Blackwell
Computer Animation and Virtual Worlds,Wiley-Blackwell
Naval Research Logistics,Wiley-Blackwell
International Journal of Imaging Systems and Technology,Wiley-Blackwell
International Journal of Network Management,Wiley-Blackwell
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",Wiley-Blackwell
International Transactions in Operational Research,Wiley-Blackwell
Mathematical Methods in the Applied Sciences,Wiley-Blackwell
Computer Applications in Engineering Education,Wiley-Blackwell
Journal of Graph Theory,Wiley-Blackwell
Simulation in Healthcare,Wolters Kluwer Health
Foundations and Trends in Computer Graphics and Vision,World Scientific
International Journal of Neural Systems,World Scientific
Mathematical Models and Methods in Applied Sciences,World Scientific
International Journal of Information Technology and Decision Making,World Scientific
Journal of Bioinformatics and Computational Biology,World Scientific
Analysis and Applications,World Scientific
International Journal of Modern Physics D,World Scientific
International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,World Scientific
"International Journal of Wavelets, Multiresolution and Information Processing",World Scientific
Reviews in Mathematical Physics,World Scientific
Fluctuation and Noise Letters,World Scientific
Parallel Processing Letters,World Scientific
"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems",World Scientific
International Journal of Structural Stability and Dynamics,World Scientific
Open Systems and Information Dynamics,World Scientific
Journal of Nonlinear and Convex Analysis,Yokohama Publishers
Science China Information Sciences,Zhongguo Kexue Zazhishe/Science in China Press
Journal of Computational Mathematics,Zhongguo Kexueyuan
Operating Systems Review (ACM),
